trader,total_volume,total_score,top_percentile,trade_count,wallet_rank,label
0x38692cead875c0cd862052efbff8f6add7310e3c,662872.918656,2093.6800694647022,114.43409313294435,154,211,
0x68fe494c5ca794f3f247f4ec2a8bf95e3ef28792,659160.2080060001,1317.980789103084,107.3540227124327,62,336,
0x2e15d1f0004101da2251a17d84fb24df34470ac8,658211.38989,1337.9514431568248,101,48,721,
0xf39651f0addaad0221806d828197064b97feed0d,657926.412262,2704.581969434239,107.33596033466509,149,337,
0xdd225a03cd7ed89e3931906c67c75ab31cf89ef1,653318.30935,1901.548674439243,81.22904504904076,277,1439,
0xcf6a714618a328c608a1c70cb62a31a6bef3f9d0,650410.3221500001,1894.8457445601593,34.43977725742159,811,10463,
0x49b306b0c083ebf5230dce5b151ecfaf63f06486,649080.0708339999,1106.4622869955533,102.28637650104994,66,578,
0x7d0a771ddd2c63255013a1efb5f0e42659b38c6c,645819.0021940001,1779.7020893828724,105.7980246907603,98,390,
0x4478d7bd8a295691ac84f60a5ec2b47e122102a4,644842.3379360001,3722.5376997052717,54.92097015760745,767,3604,
0x90ca00f0a7c263ce9e8a9af5ad044cd4dc9c1a4b,642926.28015,153.70346616358162,125,2,142,
0xdf705353876ceb2549f0c03ffcb4cba33d785e92,636994.0474159999,1787.622087062964,102.73668729757085,130,540,
0x853c37a959a5791b849e3f3225c7f5963746bd03,631559.171179,3078.7857150606455,68.86532463303953,471,2311,
0x1edaf363ca30f4041aca68fb9939f2d6ce37cc4d,627497,736.0795897054869,100,22,862,
0x9d736920e486176e7df7a76fa218f1ebd853216b,626863.9868560001,2723.2846367082384,63.432967643049025,625,2681,
0x162f6fff88a52864f2ecc9833e58089d5254798d,624341.884135,2497.380843311986,89.83890135379005,205,1136,
0x94a428cfa4f84b264e01f70d93d02bc96cb36356,622526.5007780001,485.10150585973486,132.29370094913725,26,46,
0x5823a87faccc566579cf88cc89ffe50eb54d673f,618794.1996919999,1142.7154594766844,119.81818181818181,42,166,
